danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.294,0.858,7,-6.044,0,0.0691,0.0015,0.061,0.333,0.16,120.163,audio_features,3fXjDa7j6p59VvN4lLI5lQ,spotify:track:3fXjDa7j6p59VvN4lLI5lQ,https://api.spotify.com/v1/tracks/3fXjDa7j6p59VvN4lLI5lQ,https://api.spotify.com/v1/audio-analysis/3fXjDa7j6p59VvN4lLI5lQ,270880,4
0.243,0.988,8,-3.485,1,0.197,6.17e-05,0.12,0.341,0.277,89.905,audio_features,6LhUsJiXAuxoalUz01evh0,spotify:track:6LhUsJiXAuxoalUz01evh0,https://api.spotify.com/v1/tracks/6LhUsJiXAuxoalUz01evh0,https://api.spotify.com/v1/audio-analysis/6LhUsJiXAuxoalUz01evh0,316493,4
0.679,0.784,9,-8.087,1,0.031,0.000109,0.341,0.0855,0.5,111.803,audio_features,7s0vuW12tMatfSPqLSHILG,spotify:track:7s0vuW12tMatfSPqLSHILG,https://api.spotify.com/v1/tracks/7s0vuW12tMatfSPqLSHILG,https://api.spotify.com/v1/audio-analysis/7s0vuW12tMatfSPqLSHILG,397067,4
0.495,0.913,6,-5.436,1,0.0384,1.06e-05,0.504,0.118,0.681,103.02,audio_features,4uKkzdNJdKzMW6w4LxcUEd,spotify:track:4uKkzdNJdKzMW6w4LxcUEd,https://api.spotify.com/v1/tracks/4uKkzdNJdKzMW6w4LxcUEd,https://api.spotify.com/v1/audio-analysis/4uKkzdNJdKzMW6w4LxcUEd,205027,4
0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,audio_features,0BCPKOYdS2jbQ8iyB56Zns,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/tracks/0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/audio-analysis/0BCPKOYdS2jbQ8iyB56Zns,307880,4
0.647,0.727,7,-6.323,1,0.0261,0.401,0.000408,0.144,0.695,118.57,audio_features,0Il2qy8nPnuQIxAWdP3zF3,spotify:track:0Il2qy8nPnuQIxAWdP3zF3,https://api.spotify.com/v1/tracks/0Il2qy8nPnuQIxAWdP3zF3,https://api.spotify.com/v1/audio-analysis/0Il2qy8nPnuQIxAWdP3zF3,313533,4
0.408,0.82,0,-5.116,1,0.0423,0.0118,6.58e-06,0.689,0.382,98.288,audio_features,4ksd5zvWtM0CHCyK1brHWL,spotify:track:4ksd5zvWtM0CHCyK1brHWL,https://api.spotify.com/v1/tracks/4ksd5zvWtM0CHCyK1brHWL,https://api.spotify.com/v1/audio-analysis/4ksd5zvWtM0CHCyK1brHWL,180893,4
0.302,0.945,8,-3.094,1,0.104,5.47e-05,0.0,0.089,0.316,169.893,audio_features,1NNyf9GIaEhOmvlDcpVwt1,spotify:track:1NNyf9GIaEhOmvlDcpVwt1,https://api.spotify.com/v1/tracks/1NNyf9GIaEhOmvlDcpVwt1,https://api.spotify.com/v1/audio-analysis/1NNyf9GIaEhOmvlDcpVwt1,244347,4
0.548,0.953,8,-4.688,1,0.0934,0.000189,0.00288,0.0432,0.448,127.826,audio_features,3anO2IahAOsmsz9p4Mb8aR,spotify:track:3anO2IahAOsmsz9p4Mb8aR,https://api.spotify.com/v1/tracks/3anO2IahAOsmsz9p4Mb8aR,https://api.spotify.com/v1/audio-analysis/3anO2IahAOsmsz9p4Mb8aR,207213,4
0.544,0.877,11,-4.923,0,0.0279,0.00394,1.49e-05,0.158,0.533,99.027,audio_features,0S0d7Qad5v7ZLQiAuwQxab,spotify:track:0S0d7Qad5v7ZLQiAuwQxab,https://api.spotify.com/v1/tracks/0S0d7Qad5v7ZLQiAuwQxab,https://api.spotify.com/v1/audio-analysis/0S0d7Qad5v7ZLQiAuwQxab,233933,4
